Date(UTC),Account,Operation,Coin,Change
05/06/2022 17:33,Spot,powerpiggy_lock_interest_income,lox,2.1916000000000000
05/06/2022 17:33,Spot,powerpiggy_lock_interest_income,xdc,0.1952015000000000
05/06/2022 17:33,Spot,powerpiggy_lock_interest_income,greyhound,1214.6304495600000000
05/06/2022 17:33,Spot,powerpiggy_lock_interest_income,eq,0.6781340800000000
05/06/2022 17:33,Spot,powerpiggy_lock_interest_income,smartnft,1.3149600000000000
05/06/2022 17:34,Spot,powerpiggy_lock_interest_income,smartlox,1.3149600000000000
05/06/2022 17:35,Spot,powerpiggy_lock_interest_income,vet,0.5809379400000000
05/07/2022 17:32,Spot,powerpiggy_lock_interest_income,btr,0.9972000000000000
05/07/2022 17:33,Spot,powerpiggy_lock_interest_income,lox,2.1916000000000000
05/07/2022 17:33,Spot,powerpiggy_lock_interest_income,xdc,0.1952015000000000
05/07/2022 17:33,Spot,powerpiggy_lock_interest_income,greyhound,1214.6304495600000000
05/07/2022 17:33,Spot,powerpiggy_lock_interest_income,eq,0.6781340800000000
05/07/2022 17:33,Spot,powerpiggy_lock_interest_income,smartnft,1.3149600000000000
05/07/2022 17:33,Spot,powerpiggy_lock_interest_income,smartlox,1.3149600000000000
05/07/2022 17:35,Spot,powerpiggy_lock_interest_income,vet,0.5809379400000000
05/08/2022 17:32,Spot,powerpiggy_lock_interest_income,btr,0.9972000000000000
05/08/2022 17:33,Spot,powerpiggy_lock_interest_income,lox,2.1916000000000000
05/08/2022 17:33,Spot,powerpiggy_lock_interest_income,xdc,0.1952015000000000
05/08/2022 17:33,Spot,powerpiggy_lock_interest_income,greyhound,1214.6304495600000000
05/08/2022 17:33,Spot,powerpiggy_lock_interest_income,eq,0.6781340800000000
05/08/2022 17:34,Spot,powerpiggy_lock_interest_income,smartnft,1.3149600000000000
05/08/2022 17:34,Spot,powerpiggy_lock_interest_income,smartlox,1.3149600000000000
05/08/2022 17:35,Spot,powerpiggy_lock_interest_income,vet,0.5809379400000000
05/09/2022 17:32,Spot,powerpiggy_lock_interest_income,btr,0.9972000000000000
05/09/2022 17:33,Spot,powerpiggy_lock_interest_income,lox,2.1916000000000000
05/09/2022 17:33,Spot,powerpiggy_lock_interest_income,xdc,0.1952015000000000
05/09/2022 17:33,Spot,powerpiggy_lock_interest_income,greyhound,1214.6304495600000000
05/09/2022 17:34,Spot,powerpiggy_lock_interest_income,eq,0.6781340800000000
05/09/2022 17:34,Spot,powerpiggy_lock_interest_income,smartnft,1.3149600000000000
05/09/2022 17:34,Spot,powerpiggy_lock_interest_income,smartlox,1.3149600000000000
05/09/2022 17:35,Spot,powerpiggy_lock_interest_income,vet,0.5809379400000000
05/10/2022 17:32,Spot,powerpiggy_lock_interest_income,btr,0.9972000000000000
05/10/2022 17:33,Spot,powerpiggy_lock_interest_income,lox,2.1916000000000000
05/10/2022 17:33,Spot,powerpiggy_lock_interest_income,xdc,0.1952015000000000
05/10/2022 17:33,Spot,powerpiggy_lock_interest_income,greyhound,1214.6304495600000000
05/10/2022 17:33,Spot,powerpiggy_lock_interest_income,eq,0.6781340800000000
05/10/2022 17:33,Spot,powerpiggy_lock_interest_income,smartlox,1.3149600000000000
05/10/2022 17:33,Spot,powerpiggy_lock_interest_income,smartnft,1.3149600000000000
05/10/2022 17:35,Spot,powerpiggy_lock_interest_income,vet,0.5809379400000000
05/11/2022 17:32,Spot,powerpiggy_lock_interest_income,btr,0.9972000000000000
